"station"	"date"	"layer"	"chla..Data.values"	"chla..Data.value2"	"chla.remark.codes"	"chla.value.codes"	"chla.reporting.level"	"chla.reporting.method"	"chla.reporting.units"	"chla.analyte.method"	"chla.analyte.name"	"chla.unique.code"
"CB3.3C"	1987-08-18	"S"	 19.9000000	 19.9000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-09-02	"B"	  1.0500000	  1.0500000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-09-02	"S"	 12.9000000	 12.9000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-09-15	"B"	  0.0000000	  1.0000000	"<"	""	NA	""	""	""	""	""
"CB3.3C"	1987-09-15	"S"	 19.1000000	 19.1000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-10-06	"B"	  3.1500000	  3.1500000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-10-06	"S"	 12.1000000	 12.1000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-10-20	"B"	  2.7500000	  2.7500000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-10-20	"S"	 21.7000000	 21.7000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-11-17	"B"	  1.6000000	  1.6000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-11-17	"S"	  7.0000000	  7.0000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-12-15	"B"	  1.4500000	  1.4500000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-12-15	"S"	  2.7000000	  2.7000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-01-12	"B"	 13.8306000	 13.8306000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-01-12	"S"	  3.8128000	  3.8128000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-02-23	"B"	 20.3000000	 20.3000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-02-23	"S"	 10.3000000	 10.3000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-03-17	"B"	 28.7500000	 28.7500000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-03-17	"S"	 11.2000000	 11.2000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-03-30	"B"	  5.7500000	  5.7500000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-03-30	"S"	  3.4000000	  3.4000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-04-12	"B"	 17.7500000	 17.7500000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-04-12	"S"	  4.4000000	  4.4000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-04-26	"B"	 15.1000000	 15.1000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-04-26	"S"	 10.7000000	 10.7000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-05-10	"B"	  5.9000000	  5.9000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-05-10	"S"	 28.1000000	 28.1000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-05-24	"B"	  5.4500000	  5.4500000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-05-24	"S"	 13.5000000	 13.5000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-06-07	"B"	  5.3500000	  5.3500000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-06-07	"S"	141.3000000	141.3000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-06-21	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-06-21	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-07-06	"B"	  1.1000000	  1.1000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-07-06	"S"	 15.0000000	 15.0000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-07-19	"B"	  1.8000000	  1.8000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-07-19	"S"	 44.2000000	 44.2000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-08-09	"B"	  1.2000000	  1.2000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-08-09	"S"	 50.2000000	 50.2000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-08-23	"B"	  1.3500000	  1.3500000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-08-23	"S"	 20.0000000	 20.0000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-09-07	"B"	  1.3500000	  1.3500000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-09-07	"S"	  9.7000000	  9.7000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-09-20	"B"	  1.7500000	  1.7500000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-09-20	"S"	  8.1000000	  8.1000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-10-04	"B"	  1.8000000	  1.8000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-10-04	"S"	  9.3000000	  9.3000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-10-19	"B"	  6.1000000	  6.1000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-10-19	"S"	  8.5000000	  8.5000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-11-21	"B"	  2.4000000	  2.4000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-11-21	"S"	  4.6000000	  4.6000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-12-06	"B"	  4.0584000	  4.0584000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-12-06	"S"	 11.6626000	 11.6626000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-01-18	"B"	 12.2606500	 12.2606500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-01-18	"S"	  8.3731000	  8.3731000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-02-13	"B"	 11.5130500	 11.5130500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-02-13	"S"	  6.4294000	  6.4294000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-03-21	"B"	 14.5034000	 14.5034000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-03-21	"S"	  4.0370000	  4.0370000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-04-04	"B"	  6.1303500	  6.1303500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-04-04	"S"	  4.7846000	  4.7846000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-04-18	"B"	  6.1500000	  6.1500000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-04-18	"S"	  4.3000000	  4.3000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-05-02	"B"	  8.2983500	  8.2983500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-05-02	"S"	  7.2766000	  7.2766000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-05-16	"B"	 10.5000000	 10.5000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-05-16	"S"	 11.1000000	 11.1000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-06-13	"B"	  0.5000000	  1.0000000	"i"	""	NA	""	""	""	""	""
"CB3.3C"	1989-06-13	"S"	 18.7000000	 18.7000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-06-27	"B"	  0.0000000	  1.0000000	"<"	""	NA	""	""	""	""	""
"CB3.3C"	1989-06-27	"S"	 12.6000000	 12.6000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-07-11	"B"	  1.6500000	  1.6500000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-07-11	"S"	 18.7000000	 18.7000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-07-25	"B"	  1.5699500	  1.5699500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-07-25	"S"	 21.2318000	 21.2318000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-08-15	"B"	  1.5500000	  1.5500000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-08-15	"S"	 17.6000000	 17.6000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-08-29	"B"	  1.7942000	  1.7942000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-08-29	"S"	 90.4596000	 90.4596000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-09-12	"B"	  2.2000000	  2.2000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-09-12	"S"	 34.4000000	 34.4000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-09-27	"B"	  5.9808000	  5.9808000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-09-27	"S"	  7.4760000	  7.4760000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-10-10	"B"	  7.6500000	  7.6500000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-10-10	"S"	 15.0000000	 15.0000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-10-24	"B"	  3.4389500	  3.4389500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-10-24	"S"	  2.8409000	  2.8409000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-11-14	"B"	  2.9904000	  2.9904000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-11-14	"S"	  7.4760000	  7.4760000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-12-12	"B"	 16.5967000	 16.5967000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-12-12	"S"	 19.7366000	 19.7366000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-01-09	"B"	 28.1097500	 28.1097500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-01-09	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-02-07	"B"	 33.6420000	 33.6420000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-02-07	"S"	  5.3827000	  5.3827000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-03-06	"B"	 16.2976500	 16.2976500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-03-06	"S"	  9.9057000	  9.9057000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-03-21	"B"	 28.2500000	 28.2500000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-03-21	"S"	  8.1000000	  8.1000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-04-03	"B"	  6.6000000	  6.6000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-04-03	"S"	 10.8000000	 10.8000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-04-17	"B"	  5.0500000	  5.0500000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-04-17	"S"	 18.8000000	 18.8000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-05-15	"B"	  3.6000000	  3.6000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-05-15	"S"	  7.8000000	  7.8000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-05-30	"B"	  4.6500000	  4.6500000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-05-30	"S"	  2.8000000	  2.8000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-06-12	"B"	  1.8000000	  1.8000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-06-12	"S"	  9.0000000	  9.0000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-06-26	"B"	  2.6914000	  2.6914000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-06-26	"S"	  9.2702000	  9.2702000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-07-17	"B"	  1.2000000	  1.2000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-07-17	"S"	 27.2000000	 27.2000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-07-31	"B"	  1.7195000	  1.7195000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-07-31	"S"	 27.2126000	 27.2126000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-08-14	"B"	  1.9000000	  1.9000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-08-14	"S"	 41.3000000	 41.3000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-08-28	"B"	  0.0000000	  1.0000000	"<"	""	NA	""	""	""	""	""
"CB3.3C"	1990-08-28	"S"	 17.0453000	 17.0453000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-09-11	"B"	  2.4000000	  2.4000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-09-11	"S"	 25.1000000	 25.1000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-09-25	"B"	  1.4952000	  1.4952000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-09-25	"S"	 25.2689000	 25.2689000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-10-16	"B"	  3.7500000	  3.7500000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-10-16	"S"	  6.9000000	  6.9000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-10-30	"B"	  3.1399000	  3.1399000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-10-30	"S"	  3.2894000	  3.2894000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-11-13	"B"	  2.5418500	  2.5418500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-11-13	"S"	  5.9808000	  5.9808000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-12-11	"B"	  5.4824000	  5.4824000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-12-11	"S"	  5.0837000	  5.0837000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-01-08	"B"	  4.1866000	  4.1866000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-01-08	"S"	  1.6447000	  1.6447000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-02-12	"B"	 15.6996000	 15.6996000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-02-12	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-03-13	"B"	 28.5583000	 28.5583000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-03-13	"S"	 17.0453000	 17.0453000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-03-26	"B"	 26.9000000	 26.9000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-03-26	"S"	  1.5000000	  1.5000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-04-09	"B"	  6.4080000	  6.4080000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-04-09	"S"	 21.5736000	 21.5736000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-04-23	"B"	 24.9500000	 24.9500000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-04-23	"S"	 33.0000000	 33.0000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-05-07	"B"	 31.6982500	 31.6982500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-05-07	"S"	 28.7078000	 28.7078000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-05-21	"B"	  2.0500000	  2.0500000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-05-21	"S"	  5.8000000	  5.8000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-06-06	"B"	  3.4500000	  3.4500000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-06-06	"S"	  5.5000000	  5.5000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-06-18	"B"	  1.9000000	  1.9000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-06-18	"S"	  4.7000000	  4.7000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-07-09	"B"	  1.5500000	  1.5500000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-07-09	"S"	 20.0000000	 20.0000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-07-23	"B"	  1.8000000	  1.8000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-07-23	"S"	 18.9000000	 18.9000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-08-06	"B"	  1.5000000	  2.0000000	"i"	""	NA	""	""	""	""	""
"CB3.3C"	1991-08-06	"S"	 11.6000000	 11.6000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-08-21	"B"	  2.8500000	  2.8500000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-08-21	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-09-04	"B"	  5.5500000	  5.5500000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-09-04	"S"	NA	NA	" "	""	NA	""	""	""	""	""
